[    [30, 76, 33, 58, 5, 15, 87, 66, 46, 47, 45, 42, 82, 100, 40, 25, 85, 46, 68, 81, 45, 44, 27, 61, 35, 65, 40, 21, 80, 37, 98, 11, 8, 60, 30, 69, 63, 42, 27, 31, 66, 42, 13, 60, 54, 24, 57, 45, 30, 61, 25, 60, 28, 27, 32, 94, 16, 30, 68, 6, 37, 76, 64, 73, 91, 77, 83, 23, 59, 49, 89, 4, 82, 52, 66, 93, 11, 31, 93, 4, 53, 42, 33, 5, 0, 54, 82, 16, 96, 82, 68, 8, 48, 94, 72, 73, 33, 99, 56, 49],
    [77, 93, 70, 96, 19, 23, 53, 1, 27, 24, 7, 42, 13, 94, 73, 17, 8, 60, 22, 30, 20, 81, 29, 20, 27, 86, 30, 44, 25, 17, 60, 13, 24, 23, 20, 95, 20, 32, 98, 86, 67, 57, 65, 20, 100, 54, 57, 39, 35, 76, 65, 88, 26, 35, 73, 95, 65, 91, 71, 91, 6, 57, 9, 7, 18, 19, 68, 21, 0, 77, 58, 17, 62, 84, 75, 77, 89, 58, 29, 100, 11, 29, 12, 54, 18, 35, 6, 51, 10, 48, 38, 90, 65, 67, 28, 27, 55, 52, 9, 83],
    [94, 51, 30, 60, 22, 54, 11, 71, 92, 62, 33, 40, 27, 59, 25, 87, 0, 40, 50, 2, 67, 21, 6, 47, 94, 3, 59, 17, 96, 25, 7, 57, 11, 31, 44, 33, 68, 81, 82, 29, 82, 2, 19, 85, 76, 86, 4, 17, 50, 16, 22, 83, 1, 7, 54, 45, 23, 93, 50, 63, 9, 71, 10, 30, 78, 12, 84, 31, 7, 4, 78, 79, 85, 99, 47, 60, 8, 2, 11, 68, 64, 40, 45, 85, 30, 57, 28, 88, 41, 49, 22, 35, 24, 53, 56, 60, 42, 74, 30, 45],
    [18, 57, 83, 24, 87, 9, 64, 91, 72, 33, 91, 94, 4, 43, 40, 89, 96, 26, 30, 13, 19, 33, 51, 78, 48, 2, 29, 95, 32, 48, 57, 97, 19, 95, 58, 28, 55, 66, 35, 79, 26, 35, 79, 66, 55, 63, 73, 24, 21, 46, 90, 3, 45, 75, 60, 53, 81, 71, 28, 8, 2, 1, 8, 77, 92, 84, 46, 72, 53, 5, 92, 8, 2, 39, 31, 89, 42, 0, 100, 78, 55, 41, 28, 92, 97, 54, 72, 2, 35, 47, 61, 20, 4, 75, 43, 0, 87, 98, 70, 90],
    [65, 84, 85, 8, 94, 79, 32, 45, 19, 3, 96, 34, 37, 90, 100, 80, 28, 21, 80, 12, 19, 69, 54, 98, 38, 86, 38, 81, 65, 15, 6, 36, 37, 32, 32, 6, 91, 26, 92, 4, 47, 39, 79, 24, 98, 28, 27, 8, 25, 77, 14, 13, 39, 29, 98, 52, 31, 2, 35, 72, 29, 46, 0, 20, 94, 26, 2, 62, 36, 8, 66, 31, 58, 33, 97, 93, 16, 98, 94, 85, 79, 23, 29, 100, 75, 33, 63, 53, 90, 5, 33, 25, 99, 31, 43, 84, 42, 37, 14, 81],
    [17, 94, 70, 15, 24, 77, 17, 71, 31, 22, 38, 13, 0, 33, 26, 85, 3, 57, 94, 74, 2, 51, 21, 79, 17, 35, 69, 26, 39, 63, 88, 99, 45, 97, 2, 82, 10, 76, 72, 37, 97, 14, 24, 10, 67, 47, 99, 29, 34, 33, 25, 18, 61, 41, 99, 1, 81, 45, 15, 67, 13, 16, 81, 10, 56, 86, 24, 65, 62, 82, 7, 61, 53, 30, 21, 15, 32, 75, 4, 2, 29, 75, 36, 90, 95, 97, 46, 37, 94, 67, 36, 24, 90, 35, 93, 57, 21, 49, 83, 6],
    [64, 2, 9, 58, 5, 28, 47, 83, 60, 72, 72, 28, 46, 5, 17, 64, 57, 0, 17, 21, 61, 39, 74, 57, 86, 92, 52, 88, 59, 32, 31, 71, 42, 91, 8, 62, 27, 1, 92, 58, 68, 23, 99, 47, 62, 97, 18, 95, 10, 75, 94, 81, 90, 60, 34, 97, 44, 94, 56, 81, 100, 41, 12, 67, 10, 43, 64, 91, 30, 95, 33, 98, 45, 56, 70, 50, 24, 3, 22, 17, 59, 77, 83, 90, 54, 2, 43, 15, 93, 31, 9, 92, 64, 98, 16, 81, 35, 40, 80, 82],
    [41, 12, 45, 94, 80, 10, 41, 71, 22, 28, 5, 76, 53, 75, 68, 87, 85, 26, 30, 58, 78, 69, 57, 88, 12, 75, 91, 13, 68, 71, 22, 20, 34, 17, 62, 50, 88, 8, 33, 43, 42, 10, 47, 7, 23, 90, 65, 89, 84, 91, 85, 0, 29, 81, 20, 63, 87, 78, 37, 10, 3, 11, 95, 37, 3, 67, 60, 25, 87, 92, 70, 64, 57, 56, 60, 74, 25, 6, 88, 40, 96, 63, 43, 28, 93, 74, 95, 30, 31, 58, 47, 81, 80, 24, 91, 4, 61, 17, 23, 69],
    [59, 37, 1, 72, 32, 2, 29, 52, 76, 1, 51, 59, 88, 60, 48, 77, 100, 22, 11, 62, 47, 38, 100, 14, 70, 13, 75, 89, 1, 13, 29, 2, 8, 2, 29, 24, 61, 75, 78, 26, 76, 30, 92, 100, 11, 84, 6, 2, 97, 100, 86, 100, 95, 75, 96, 27, 75, 65, 93, 16, 9, 47, 83, 12, 67, 35, 24, 87, 62, 7, 60, 64, 24, 22, 97, 18, 58, 83, 67, 81, 27, 65, 41, 31, 4, 50, 24, 72, 15, 84, 35, 48, 86, 5, 40, 93, 89, 89, 79, 42],
    [44, 85, 34, 93, 98, 76, 79, 43, 64, 89, 33, 49, 1, 50, 48, 96, 89, 65, 9, 47, 75, 42, 35, 29, 93, 59, 88, 10, 59, 24, 77, 20, 84, 33, 77, 23, 43, 50, 10, 44, 60, 51, 71, 52, 88, 51, 35, 13, 94, 10, 58, 11, 82, 44, 12, 64, 35, 54, 78, 0, 59, 58, 76, 80, 1, 94, 92, 43, 100, 82, 76, 91, 47, 27, 44, 37, 15, 73, 55, 5, 51, 42, 20, 92, 52, 39, 32, 2, 17, 36, 43, 47, 14, 31, 24, 53, 25, 88, 34, 51],
